Time,Surrounding Temp,Milk Temp
1,36.08,36.25
2,36.07,36
3,36.01,35.75
4,35.97,35.75
5,36.09,35.25
6,36.08,35.75
7,36.04,36.25
8,35.94,36
9,35.94,36
10,35.92,35.75
11,35.9,35.75
12,35.88,35.75
13,35.88,36
14,35.9,36
15,35.86,36
16,35.84,36
17,35.86,36
18,35.85,35.25
19,35.83,35.75
20,35.83,36
21,35.84,36
22,35.87,35.25
23,35.84,36
24,35.82,36.25
25,35.77,35.5
26,35.78,36
27,35.87,36
28,35.82,36.25
29,35.76,35.75
30,35.76,36
31,35.85,36
32,35.88,36
33,35.87,36.25
34,35.79,36
35,35.76,36
36,35.77,35
37,35.74,35.75
38,35.75,35.75
39,35.75,36
40,35.72,36
41,35.83,36.25
42,35.84,36.25
43,35.82,36.25
44,35.75,36
45,35.71,36
46,35.75,35.75
47,35.68,35.75
48,35.73,35.75
49,35.78,36
50,35.72,36
51,35.72,35.75
52,35.7,36
53,35.71,35.75
54,35.76,35.75
55,35.7,36.25
56,35.63,35.75
57,35.6,36.25
58,35.65,35.75
59,35.71,36.25
60,35.65,35.75
61,35.65,35.75
62,35.6,35.75
63,35.61,36.25
64,35.51,36
65,35.53,36
66,35.6,36.25
67,35.55,36.25
68,35.62,35.75
69,35.65,36
70,35.64,36.25
71,35.69,36.25
72,35.57,35.5
73,35.62,36
74,35.61,36
75,35.61,36
76,35.52,36.25
77,35.57,36.25
78,35.53,36.25
79,35.56,36
80,35.54,35.5
81,35.51,35.75
82,35.42,36.25
83,35.45,36
84,35.34,35.5
85,35.36,36
86,35.43,35.5
87,35.36,35.75
88,35.42,35.5
89,35.38,36.25
90,35.36,36
91,35.39,35.75
92,35.42,36
93,35.37,35.75
94,35.33,36
95,35.36,35.5
96,35.43,35.5
97,35.36,36
98,35.28,35.75
99,35.31,35.5
100,35.26,35.5
101,35.4,36
102,35.4,35.5
103,35.43,35.75
104,35.45,36.25
105,35.39,36.25
106,35.39,35.5
107,35.38,36
108,35.3,36
109,35.34,36
